name
"Herbert,  Victor"
"Gretry [Grétry],  Andre [André]  Ernest Modeste"
"Franchetti,  Baron  Alberto"
"D'Albert,  Eugen"
"Smetana,  Bedrich"
"Reyer,  Ernest"
"Paine,  John  Knowles"
"Lassus,  Orlande  De"
"Moszkowski,  Moritz"
"Burmeister,  Richard"
"Joachim,  Joseph"
"Delibes,  Léo"
"Chaminade,  Cécile"
"Bemberg,  Herman"
"Jensen,  Adolf"
"Schutz,  Heinrich"
"Damrosch,  Walter"
"Scharwenka,  Philipp"
"Koch,  Friedrich  E."
"Beach,  Amy"
"Gilson,  Paul"
"Godard,  Benjamin"
"Klughardt,  August"
"Strong,  George  Templeton"
"Parry,  Sir  Charles  Hubert H."
"Korbray,  Francis  Alexander"
"Sinding,  Christian"
"Somervell,  Sir  Arthur"
"Cornelius,  Peter"
"Haynes,  Walter  Battison"
"Humperdinck,  Engelbert"
"MacDowell,  Edward  A."
"Rudorff,  Ernst"
"Martini,  Giovanni  Battista"
"Paderewski,  Ignacy  Jan"
"Schillings,  Max  Von"
"Chadwick,  George  Whitefield"
"Lamond,  Frederic"
"Elgar,  Sir  Edward"
"Morley,  Thomas"
"Sullivan,  Sir  Arthur  Seymour"
"Rucken,"
"Storck,"
"Strauss,  Josef"
"Wood,  Mary  Knight"
"Leoncavallo,  Ruggero"
"Kelley,  Edgar  Stillman"
"Arditi,  Luigi"
"Schytte,  Ludvig"
"Guilmant,  Alexander"
"Zoellner,  Heinrich"
"Sieveking,  Martinus"
"Brockway,  Howard"
"Borodin,  Alexander"
"Tosti,  Francesco  Paolo"
"Strauss,  Johann, II"
"Balfe,  Michael  William"
"Novacek,  Ottokar  (Eugen)"
"Wagner,  Siegfried"
"Glazunov,  Alexander"
"Huss,  Henry  Holden"
"Weingartner,  Felix"
"Dubois,  Theodore"
"Nevin,  Ethelbert"
"Charpentier,  Gustave"
"Calvisius,  Sethus"
"Praetorius,  Michael"
"Gruber,  Franz  Xaver"
"Foote,  Arthur"
"Van Der Stucken,  Frank"
"Alsneff,"
"Popper,  David"
"Saar,  Louis  Victor"
"Scarlatti,  Domenico"
"Guiraud,  Ernest"
"Bruneau,  Alfred"
"Suk,  Josef"
"Purcell,  Henry"
"Rimsky-Korsakov,  Nikolai"
"Loewe,  Johann  Carl"
"Parker,  Horatio"
"Vilbac,  Alphonse Charles Renaud  de"
"Thome [Thomé],  Francis"
"Chabrier,  Emmanuel"
"Bayer,  Joseph"
"Waldteufel,  Emil"
"Czibulka,  Alphons"
"Sousa,  John  Philip"
"Fahrbach,  Philipp"
"Ganne,  Louis"
"Ketterer,  Eugène"
"Musorgsky,  Modest"
"Ziehrer,  Carl  Michael"
"Franck,  César"
"Mascagni,  Pietro"
"Strauss,  Johann, Sr."
"Jessel,  Leon"
"Tcherepnin,  Nikolai"
"Gillet,  Ernest"
"Suppe [Suppé],  Franz  Von"
"Lacombe,  Louis"
"Schenck,  Elliott"
"Keler-Bela [Kéler-Béla],"
"Oberthur,  Charles"
"Kretschmar,  Edmund"
"Pirani,  Eugenio  di"
"Blon,  Franz  von"
"Bendel,  Franz"
"Burckhardt,  J."
"Puccini,  Giacomo"
"Nesvadba,  Josef"
"Nessler,  Viktor  Ernst"
"Popp,"
"Johns,  Clayton"
"Gungl [Gung'l],  Joseph"
"Ries,  Franz"
"Westerhout,  Nicola  van"
"Bohm,  Carl"
"Ochs,  Siegfried"
"Kempter,  Lothar"
"Hausegger,  Siegmund  von"
"Hadley,  Henry  Kimball"
"Sibelius,  Jean"
"Caetani,  Roffredo"
"Monsigny,  Pierre  Alexandre"
"Pfeiffer,  Georges  Jean"
"Perilhou,  Albert"
"Hegner,  Anton"
"Thomas,  Arthur  Goring"
"Von Blon,  Franz"
"Schumann,  Georg"
"Klein,  Bruno  Oscar"
"Artsibushev,  Nikolai  Vassilievitch"
"Vitols,  Jazeps"
"Lyadov,  Anatoli"
"Sokolov,  Nikolai  Alexandrovich"
"Unknown,"
"Bassani,  Giovanni  Battista"
"Duparc,  Henri"
"Mahler,  Gustav"
"Friml,  Rudolf"
"Improvisation,"
"Lully,  Jean  Baptiste"
"Hofmann,  Josef"
"Debussy,  Claude"
"Sgambati,  Giovanni"
"Chausson,  Ernest"
"Roentgen [Röntgen],  Julius"
"Wolf,  Hugo"
"Ysaye,  Eugène"
"Giordano,  Umberto"
"Eckert,  Karl"
"Indy,  Vincent  d'"
"Vidal,  Paul  Antonin"
"Jongen,  Joseph"
"Loeffler,  Charles  Martin"
"De Fontenailles,  Henri"
"Wekerlin,  Jean-Baptiste"
"Boellmann,  Leon"
"Weber-Berlioz,"
"Lindner,  August"
"Demantius,  Christoph"
"Louis XIII,"
"Converse,  Frederick  S."
"German,  Edward"
"Reznicek,  Emil  Nikolaus von"
"Lyapunov,  Sergius  Mikhailovich"
"Scriabin,  Alexander"
"Kreisler,  Fritz"
"Metzl,  Vladimir"
"Folk Song,"
"Lvov,  Alexey"
"Schelling,  Ernest"
"Stewart,  Humphrey  J."
"Faure [Fauré],  Gabriel-Urbain"
"Pierne [Pierné],  Gabriel"
"Wolff,"
"Glaassen,  A."
"Wengert,  Jules"
"Pache,  J."
"Unspecified,"
"Stahlberg,  Fritz"
"Quilter,  Roger"
"Ravel,  Maurice"
"Dukas,  Paul"
"Rachmaninoff,  Sergei"
"Victoria,  Tomás  Luis de"
"Arcadelt,  Jacques"
"Sweelinck,  Jan  Pieterszoon"
"Vecchi,  Orazio"
"Gretchaninoff,  Alexander"
"Scudrei,  Salvatore"
"Giordani,  Giuseppe"
"Fiedler,  Max"
"Bull,  John"
"Farnaby,  Giles"
"Busoni,  Ferruccio"
"Durante,  Francesco"
"Schreck,  Gustav"
"Pluddemann,"
"Pfitzner,  Hans"
"Delius,  Frederick"
"Stock,  Frederick  A."
"Kaun,  Hugo"
"Wade,  John  Francis"
"Corner,  Dr.  David  Gregor"
"Redner,  Lewis"
"Enesco,  Georges"
"Spross,  Charles  Gilbert"
"Cadman,  Charles  Wakefield"
"Sinigaglia,  Leone"
"Martucci,  Giuseppe"
"Bossi,  Marco  Enrico"
"Kolar,  Victor"
"Stojowski,  Sigismond"
"Tinel,  Edgar"
"Laucella,  Nicola"
"Stange,  Max"
"Gevaert,  François-Auguste"
"Othegraven,  August  von"
"Schjelderup,  Gerhard"
"Van Der Pals,  Leopold"
"Fibich,  Zdenko"
"Tertius-Noble,  Thomas"
"Pointer,  John"
"Broome,  Edward"
"Witt,  Friedrich"
"Reger,  Max"
"Thuille,  Ludwig"
"Boyle,  George  Frederick"
"Vivaldi,  Antonio"
"Wolf-Ferrari,  Ermanno"
"Nowowiejski,  Felix"
"Hue [Huë],  Georges  Adolphe"
"Ritter,  Alexander"
"Coleridge-Taylor,  Samuel"
"Esposito,  Michele"
"Clay,  Spencer"
"Marshall,  Charles"
"Graener,  Paul"
"Korngold,  Erich"
"Leclair,  Jean  Marie"
"Gernsheim,  Friedrich"
"Viotti,  Giovanni  Battista"
"Caccini,  Giulio"
"Philidor,  Francois-Andre"
"Brown,  Wilson"
"Lie,  Sigurd"
"Glibert,"
"La Forge,  Frank"
"Stransky,  Josef"
"Lange,"
"Schulz,  Leo"
"Hughes,  Herbert"
"VARIOUS,"
"Ambrose,  Paul"
"Manney,  Charles  Fonteyn"
"Rathbone,  George"
"Gardiner,  Henry  Balfour"
"Alcock,  Gilbert"
"Knight,  G.  H."
"Fanelli,  Ernest"
"Halevy [Halévy],  Fromental"
"Gilbert,  Henry  F."
"Humiston,  William  Henry"
"Dalayrac,  Nicolas-Marie"
"Dykes,  John  Bacchus"
"Zandonai,  Riccardo"
"Harris,  Joel  Chandler"
"Coolidge,  Elizabeth  Sprague"
"Rickett,  Edmond"
"Ingraham,  George"
"Lekeu,  Guillaume"
"Bantock,  Granville"
"Jarnefelt [Järnefelt],  Armas"
"Roger-Ducasse,  Jean"
"Ropartz,  Joseph  Guy"
"Lang,  Margaret  R."
"Demonstration,"
"Fleck,  Fritz"
"Noren,  Heinrich  Gottlieb"
"Romberg,  Sigmund"
"Green,  Arthur  N."
"Costa,  G."
"Secchi,  Antonio"
"Koechlin,  Charles"
"Offenbach,  Jacques"
"Rubetz,  A.  T."
"Grainger,  Percy"
"Roussel,  Albert"
"Stravinsky,  Igor"
"Monteverdi,  Claudio"
"Bungert,  August"
"Schmitt,  Florent"
"Sullivan,  Archibald  Beresford"
"Sendrey,  Alfred"
"Bruhns,  Arthur"
"Falck,  Edward"
"Peel,"
"Barrere [Barrère],  Georges"
"Caplet,  Andre [André]"
"Kjerulf,  Halfdan"
"Kahn,  Robert"
