name
"Rosenmuller,  Johannes"
"Porter,  Quincy"
"Stamitz,  Johann  Wenzel Anton"
"Dittersdorf,  Karl  Von"
"Forsyth,  Cecil"
"Barbirolli,  John"
"Binet,  Jean"
"Jora,  Mihail"
"Otesco,  Nonna"
"Gabrieli,  Giovanni"
"Nordoff,  Paul"
"Mihalovici,  Marcel"
"Denza,  Luigi"
"Blanchet,  Emile  R."
"Stringfield,  Lamar"
"McDonald,  Harl"
"Acqua,  Eva dell'"
"Soler,  Padre"
"Fuerst,  Eugene"
"Dinicu,  Grigoras"
"Vitali,  Giovanni  Battista"
"Farwell,  Arthur"
"Kerr,  Harrison"
"Zachow,  Friedrich  Wilhelm"
"Johnson,  Horace"
"Josten,  Werner"
"Read,  Gardner"
"Gomes,  Antonio  Carlos"
"Achron,  Isidor"
"Daniels,  Mabel  Wheeler"
"Koussevitzky,  Serge"
"Gibilaro,  Alfonso"
"Kremser,  Eduard"
"Camilieri,  Lorenzo"
"Alessandresco,  Alfred"
"Golestan,  Stan"
"Rogalski,  Theodor"
"Andrico,  Michel  G."
"Glantz,  Harry"
"Bell,  William  Henry"
"Ireland,  John"
"Gilardi,  Girado"
"Fitelberg,  Jerzy"
"Moniuszko,  Stanislaw"
"Rybicki,  Wojciech"
"Blose,  Johann  M"
"Biber,  Heinrich von"
"Rossellini,  Renzo"
"Rosenthal,  Moritz"
"Schafer,  Dirk"
"Gutman,  Arthur  H"
"Gould,  Morton"
"Schoenherr,  Max"
"Lehar [Lehár],  Franz"
"Kearney,  Peadar"
"Glover,  Charles  William"
"Diamond,  David"
"Pillois,  Jacques"
"Gregorian Chant,"
"Haubiel,  Charles"
"Warlock,  Peter"
"Vactor,  David  Van"
"Salzedo,  Carlos"
"Dragoi,  Sabin  V(asile)"
"Lipatti,  Dinu"
"Szalowski,  Antoni"
"Francaix [Françaix],  Jean"
"Bonner,  Eugene  MacDonald"
"Cesana,  Otto"
"Reissiger,  Friedrich  August"
"Alnaes,  Eyvind"
"Johansen,  David  Monrad"
"Wiechowicz,  Stanislaw"
"Mignone,  Francisco"
"Burle Marx,  Walter"
"Villa-Lobos,  Heitor"
"Fernandez [Fernândez],  Oscar  Lorenzo"
"Perlea,  Jonel"
"Martin,  Frank"
"Beck,  Conrad"
"Doret,  Gustave"
"Bliss,  Arthur"
"Catalani,  Alfredo"
"Schuman,  William"
"Britten,  Benjamin"
"Dell'Acqua,  Eva"
"Aguirre,  Julián"
"Cailliet,  Lucien"
"Zemachson,  Arnold"
"Brun,  Fritz"
"Spendiaryan,  Alexander"
"Kalman [Kálmán],  Emmerich"
"Marcello,  Benedetto"
"Muller,  Wenzel"
"Zador,  Eugen"
"Kurthy,  Zoltan"
"Herrmann,  Bernard"
"Robinson,  Earl"
"Giannini,  Vittorio"
"Garcia-Estrada,"
"Troiani-Bandini,"
"Lopez-Buchardo,"
"Oyanguren,  Julio  Martinez"
"Tarrega,  Francisco"
"Ugarte,  Floro  M(elitón)"
"Hummel,  Ferdinand  B."
"Becker,  John  J."
"Spier,  La Salle"
"Cowell,  Henry  Dixon"
"Klemperer,  Otto"
"Templeton,  Alec"
"Babin,  Victor"
"Bolzoni,  Giovanni"
"Woltmann,  Frederick"
"Zemlinsky,  Alexander"
"Nabokov,  Nicolas"
"Verrall,  John"
"Stolz,  Robert"
"Straus,  Oscar"
"Holborne,  Anthony"
"Portnoff,  Mischa"
"Montemezzi,  Italo"
"Naginski,  Charles"
"Benjamin,  Arthur"
"Sanjuan,  Pedro"
"Creston,  Paul"
"Lamonte de Grignon,  Joan"
"Davies,  Sir  Walford"
"Basie,  Count"
"Sauter,  Eddie"
"Sampson,  Edgar"
"Prima,  Louis"
"Baxter,  Phil"
"Green,  Johnny"
"Williams,  Mary Lou"
"Alabieff,  Alexander"
"Poldini,  Ede"
"Adler,  Larry"
"Katscher,  Robert"
"Lee,  Dai-Keong"
"Bayly,  Thomas  Haynes"
"Larsson,  Lars  Erik"
"Thomson,  Virgil"
"Hasselmans,  Alphonse  Jean"
"Zabel,  Albert  Heinrich"
"Menotti,  Gian  Carlo"
"Mathieu,  Andre"
"Haufrecht,  Herbert"
"Mohaupt,  Richard"
"Vitali,  Tomaso  Antonio"
"Weisgall,  Hugo"
"Vosgerchien,  Luise"
"Gooch,  William"
"Dodworth,  Allen"
"Sapp,  Allen  D."
"Grunfeld [Gruenfeld],  Alfred"
"Khachaturian,  Aram"
"Stor,  Jean"
"Brant,  Henry"
"Garat,  Pierre"
"Khrennikov,  Tikhon"
"Cooley,  Carlton"
"Elwell,  Herbert"
"Harline,  Leigh"
"Semmler,  Alexander"
"Poot,  Marcel"
"Enthoven,  Henri  Emile"
"Tuthill,  Burnet"
"Iturbi,  Jose"
"Caturla,  Alejandro  García"
"Barroso,  Ary"
"Tavares,  Hekel"
"Nassara-Barroso,"
"Bate,  Stanley"
"Violette,  Wesley  La"
"Couperin,  Francois [François]"
"Kabalevsky,  Dmitri"
"Zimmerman,  Charles  A."
"Golde,  Walter"
"Crist,  Bainbridge"
"Leonard,  Clair"
"Kennan,  Kent"
"Bacon,  Ernst"
"Porter,  Cole"
"Carmichael,  Hoagy"
"Sieczynski,  Rudolf"
"Benatzky,  Ralph"
"Lessner,  George"
"Borguno,  A."
"Navarro,"
"Breton,  Tomás"
"Font,  M."
"Proch,  Heinrich"
"Farnon,  Robert  J."
"Mueller,  Florian  F."
"Steiner,  Max"
"Newman,  Alfred"
"Young,  Victor"
"Schwartz,  Arthur"
"Heusen,  James Van"
"Ganin,  Kim"
"Altman,  Arthur"
"Warren,  Harry"
"Whiting,  Richard"
"Rozsa [Rózsa],  Miklós"
"Hill,  Patty  and Mildred"
"Gritton,  Eric"
"Duke,  Vernon"
"Coates,  Eric"
"Rathaus,  Karol"
"Guarnieri,  Camargo"
"Beckett,  Wheeler"
"Campra,  Andre"
"Strimer,  Joseph"
"Lutkin,  Peter  Christian"
"Bernstein,  Leonard"
"Labunski,  Felix"
"Moross,  Jerome"
"Verley,  Albert"
"Tchesnokoff,  Pavel"
"Knipper,  Lev"
"Kay,  Ulysses  Simpson"
"Blitzstein,  Marc"
"Gotovak,  Jakov"
"Tajtchevitch,  Marko"
"Malotte,  Albert  Hay"
"Phillips,  Burrill"
"Schenk,  Robert  C."
"Cohan,  George  Michael"
"Wagner,  Joseph"
"Clementi,  Muzio"
"Wooldridge,  John"
"Foss,  Lukas"
"Meck,  Josef"
"Kirnberger,  Johann  Philipp"
"Benda,  Friedrich  Ludwig"
"Haydn,  Michael"
"Joseph I,"
"Boehm,  Georg"
"Menasce,  Jacques  De"
"Klenner,  John"
"Serly,  Tibor"
"Kreutz,  Arthur"
"Mennin,  Peter"
"Schuyler,  Philippa  Duke"
"Earle,  Edward"
"Rodgers,  Richard"
"Listov,  K."
"Simon,  Nat"
"Rose,  David"
"Wright,  Robert"
"Perez-Freire,  Osman"
"Goodman,  Al"
"Arndt,  Felix"
"Berlin,  Irving"
"Ruiz,  Gabriel"
"Styne,  Jule"
"Turlet,  A."
"Tierney,  Harry"
"Ravina,"
"Pugni,  Cesare"
"Malats,  Joaquin"
"Eysler,  Edmund"
"Lorenz,  Carl"
"Goldman,  Edwin  Franko"
"Adair,  Dorothy  W."
"Bergsma,  William"
"Barrymore,  Lionel"
"Amanuensis,  A.  N."
"Murray,  Lyn"
"Scott,  Raymond"
"Warnow,  Mark"
"Anderson,  Paquita"
"Andre,"
"Gogliano,"
"Saperton,  David"
"Grever,  Maria"
"Lara,  Agustín"
"Freire,  Osman  Perez"
"Lara,  Manuel  Manrique De"
"Tucci,  Terig"
"Lecuona,  Ernesto"
"Penella,  Manuel"
"Chueca,  Federico"
"Larregla,  Joaquin"
"Guizar,  Pepe"
"Vallejo,"
"Don Alfonso-Carriola,"
"Gillis,  Don"
"Veracini,  Francesco  Maria"
"Kosakoff,  Reuven"
"Bellini,  Renato"
"Stix,  Carl"
"Rangstrom,  Ture"
"Napravnik (Nápravník),  Eduard  Frantsovitch"
"Bodge,"
"Clarke,  Robert  Coningsby"
"Rolla,  Allesandro"
"Nero,  Paul"
"Ronald,  Langdon"
"Addinsell,  Richard"
"Tarenghi,  Mario"
"Rose,  Peter de"
"MacHugh,  Jimmy"
"Youmans,  Vincent"
"Meacham,  Frank  W."
"Souvaine,  Henry"
"Boskerck,  Francis Saltus  Van"
"Mossman,  Ted"
"D'Artega,  (Alfonso)"
"Reddick,  William"
"Manna Zucca,"
"Eiger,"
"Smith,  Robert  W"
"Bettorini,"
"De Curtis,  Ernesto"
"Steiner,  George"
"Charles,  Ernest"
"Siegmeister,  Elie"
"Shefter,  Bert"
"Colombo,  Russ"
"Anderson,  Leroy"
"Blaine,  Ralph"
"Griselle,  Thomas"
"Layton,  Turner"
"Baker,  Phil"
"Kowal,  M"
"Chemberdji,  Katya"
"Miliutin,  Georgii Sergeevich"
"Gade,  Jacob"
"Conrad,  Con"
"Lavalle,  Paul"
"Berger,  Jean"
"Canteloube,  Joseph"
"Niles,  John  Jacob"
"Antheil,  George"
"Di Capua,  Rinaldo"
"Curtis,  Ernesto Di"
"Bachelet,  Alfred  (Georges)"
"Frescobaldi,  Girolamo"
"Heuberger,  Richard"
"Mompou,  Frederic"
"Hahn,  Reynaldo"
"Anderson,  Florence"
"DuPage,  Richard"
"Senfl,  Ludwig"
"Ratner,  Leonard"
"Block,  Frederick"
"Mackenna,  Carmela"
"Bosmans,  Arturo"
"Pinto,  Octavio"
"Haggerty,  Richard"
"Work,  John"
"Benda,  Jirí (Georg)  Antonín (Anton)"
"Guenther,  Felix"
"Lucas,  Mary  Anderson"
"Pisk,  Paul"
"Jadassohn,  Salomon"
"Szabo [Szabó],  Ferenc"
"Mattfeld,  Julius"
"Piket,  Frederick"
"Wissmer,  Pierre"
"Biloti,  Anton"
"Rosenthal,  Manuel"
"Rivier,  Jean"
"Barraud,  Henri"
"Dello Joio,  Norman"
"Turner,  Godfrey"
"Messiaen,  Olivier"
"Sakovich,"
"Hardelot,  Guy  d'"
"Engel-Berger,  Willy"
"Gargiulo,"
"Bagley,  Edwin  Eugene"
"Grave,  Maria"
"Minkus,  Leon"
"North,  Alex"
"Hendl,  Walter"
"Bauer,  Marion  Eugenie"
"George,  Earl"
"Jones,  Charles"
"Root,  George  Frederick"
"Scott,  Hazel"
"Misraki,  Paul"
"Spielmann,  Fritz"
"Porrino,  Ennio"
"Webern,  Anton  von"
"Perpessas,  Harilaos"
"Schnabel,  Artur"
"Muradeli,  Vano"
"Baron,  Maurice"
"Moeran,  Ernest  John"
"Scott,  Tom"
"Starokadomsky,  Michael  L."
"Savino,  Domenico"
"Vene [Vené],  Ruggero"
"Haussermann,  John"
"Balendonck,  Armand"
"Dyson,  Sir  George"
"Kleinsinger,  George"
"Hupfeld,  Herman"
"Panufnik,  Sir  Andrzej"
"Fitch,  Theodore"
"Wesley,  Mary  Lou"
"Morganstern,"
"Ward,  Robert"
"Weaver,  Powell"
"Mancinelli,  Luigi"
"Cilea,  Francesco"
"Liebermann,  Rolf"
"Arnell,  Richard"
"Ivanov-Radkevich,  Nikolai"
"Revueltas,  Silvestre"
"Emmett,  Daniel  Decatur"
"Pierpont,  James  Lord"
"Clapp,  Philip  Greeley"
"Sessions,  Roger"
"Shapero,  Harold"
"Frazzi,  Vito"
"Ghedini,  Giorgio  Federico"
"Chinn,  Genevieve"
"Shulman,  Alan"
"Camarata,  Tutti"
"Antonini,  Alfredo"
"Bermejo,  Felipe"
"Soarez-Saveno,"
"Castellanos,  Carlos"
"Balazs,  Frederic"
"Firestone,  Elizabeth"
"Swanson,  Howard"
"Alexander,  Josef"
"Stein,  Barbara"
"Koutzen,  Boris"
"Torelli,  Giuseppe"
"Levine,  Julius"
"Wolpe,  Stefan"
"Mills,  Charles"
"Travis,  Roy  Elihu"
"Slonimsky,  Nicolas"
"Kirchner,  Leon"
"Strauss,  Eduard"
"Petrassi,  Goffredo"
"Stevens,  David"
"Jackno,  Ralph  John"
"Lavry,  Marc"
"Confrey,  Zez"
"Schertzinger,  Victor"
"Yaysnoff,  June & Iris"
"Rodrigo,  Joaquín"
"Gesensway,  Louis"
"Barab,  Seymour"
"Ferguson,  Howard"
"Eberl,  Anton"
"Hill,  Dorothy"
"Gabrieli,  Andrea"
"Berger,  Arthur"
"Einem,  Gottfried  Von"
"Rochberg,  George"
"Vivanco,  Moises"
"Gimenez,  Jeronimo"
"Sandoval,"
"Blasco,  Ricardo"
"Machado,  Roger"
"Lajarte,  Theodore  Eduard DuFaure"
"Bezanson,  Philip"
"Blacher,  Boris"
"Damase,  Jean-Michel"
"Kassern,  Tadeusz"
"Moor,  Emanuel"
"Dougherty,  Celius  (Hudson)"
"Dallapiccola,  Luigi"
"Lipschutz,  Lita"
"Helm,  Everett"
"Dalgleish,  James"
"Godfrey,  Kathryn"
"Bautista,"
"Font de Anda,"
"Moreno Torroba,  Federico"
"Miller,"
"Millocker,"
"Waxman,  Franz"
"Skalkottas,  Nikos"
"Caamano [Caamaño],  Roberto"
"Richardson,  Albert"
"Raksin,  David"
"Zaritzky,  Walt  Barrows"
"Hague,  Charles"
"Bonporti,  Francesco  Antonio"
"Marinuzzi,  Gino, Jr."
"Gaburo,  Kenneth"
"Sihanouk,  King  Norodom"
"Ladmirault,  Paul  Emile"
"Cortes [Cortés],  Ramiro"
"Meyerowitz,  Jan"
"Pregel,  Boris"
"Harkness,  Rebecca"
"Sauter-Finegan,"
"Rodriguez,  Gerardo  Matos"
"de Abreu,  Zequinha"
"Monterde,  Bernardino  Bautista"
"Yradier,  Sebastian"
"Kay,  Hershy"
"Pestalozza,  Alberto"
"Lumbye,  Hans Christian"
"De Filippi,  Amedeo"
"Weber,  Ben"
"Miyagi,  Michio"
"Konoye,  Hidemaro"
"Buxtehude,  Dietrich"
"Carrer [Karrer, Karreris],  Pavlos"
"Goodman,  Saul"
"Lewis,  George"
"Hall,  Reginald"
"Marker,"
"Di Candriano,  Prince  Camillo  Ruspoli"
"Bensussan,  Menachem"
"Suesse,  Dana"
"Klein,  John  M."
"Landes,"
"Goehr,"
"Mamorsky,  Morris"
"Burgess,  Lord"
"Span,  Norman"
"De Banfield,  Raffaello"
"Muse,  Clarence"
"Hanley,  James  F."
"Williams,  Spencer"
"Reid,  Billy"
"Williams,  Hank"
"New Orleans Rhythm Kings,"
"Tizol,  Juan"
"Monaco,  James  V."
"Bernie,  Ben"
"McPhee,  Colin"
"Starer,  Robert"
"Schuller,  Gunther"
"Marquina,  Pasquale"
"Loewe,  Frederick"
"Mourant,  Walter"
"Rosenthal,  Laurence"
"Ginastera,  Alberto"
"Mann,  Robert"
"Kubik,  Gail"
"Heiden,  Bernhard"
"Carter,  Elliott"
"Egge,  Klauss"
"Sherwood,  Gordon"
"Bentzon,  Niels  Viggo"
"Jurek,"
"Lane,  Burton"
"Bowman,  Brooks"
"Wood,  Haydn"
"De Paul,  Gene"
"Shearing,  George"
"Young,  Lester"
"Grainer,  Ron"
"Garner,  Erroll"
"Sebastian,  John"
"Fernandez Arbos,  Enrique"
"Arnold,  Sir  Malcolm"
"Marais,  Josef"
"Bondeville,  Emmanuel"
"Dutilleux,  Henri"
"Durufle [Duruflé],  Maurice"
"Rota,  Nino"
"Haieff,  Alexei"
"Macero,  Teo"
"Turner,  Charles"
"Sicilianos,  Yeorgo"
"Merrick,  Mahlon  Legrand"
"Castro,  Juan  José"
"Markevitch,  Igor"
"Borishansky,  Elliot"
"Yoder,  Paul  V."
"Chapi (y Lorente),  Ruperto"
"Garcia-Matos,  Manuel"
"Alamo,  Lazaro del"
"Arbo,  Miguel  Asins"
"Ferriz,"
"Mulligan,  Gerry"
"Strayhorn,  Billy"
"Cliburn,  Van"
"Zafred,  Mario"
"Salieri,  Antonio"
"Varese [Varèse],  Edgard"
"Ben-Haim,  Paul"
"Ellstein,  Abraham"
"Betti,  Henry"
"Chajes,  Julius"
"Lewis,  Leon"
"Nelhybel,  Vaclav"
"Franklin,  Benjamin"
"Beglarian,  Grant"
"Fine,  Irving"
"Rorem,  Ned"
"Russo,  William"
"Banfield,  Raffaelo de"
"Zeller,  Karl"
"Merceron,"
"Pugatchov,  Emanuel"
"Fisher,  Marvin"
"Orbon,  Julian"
"Fenton,"
"Fry,  William  Henry"
"Brubeck,  Howard"
"Willis,  Richard  Storrs"
"Amirov,  Fikret"
"De La Torre,  Francisco"
"Bucci,  Mark"
"Boulez,  Pierre"
"Kalman,  Charles"
"Monreal,"
"Solano,"
"Maciste,"
"Ovadia,"
"Ferrao,"
"Cannon,  Hughie"
"Orrego-Salas,  Juan"
"Orff,  Carl"
"Franchetti,  Arnold"
"Parish,  M"
"Lutoslawski,  Witold"
"Ripoll,  Michael  Douglas"
"Blackburn,  John  M"
"Bernard,  Felix"
"Hadjidakis,  Manos"
"Rascel,  Renato"
"Chou,  Wen-Chung"
"Ponce,  Manuel"
"Mayuzumi,  Toshiro"
"Sellers,  Brother John"
"Smit,  Leo"
"Dor,  Dani"
"Goldfaden,  Abraham"
"Gold,  Ernest"
"Miron,  Issachar"
"Kurka,  Robert"
"Nielsen,  Carl"
"Gottlieb,  Jack"
"Westerman,  Gerhart von"
"Pinkham,  Daniel"
"Etler,  Alvin"
"Gerhard,  Roberto"
"Henze,  Hans  Werner"
"Previn,  Sir  André"
"Henderson,  Skitch"
"Bihari,  Janos"
"Vetessy,  George"
"Baird,  Tadeusz"
"Ran,  Shulamit"
"Xenakis,  Iannis"
"Ligeti,  György"
"Austin,  Larry"
"Cage,  John"
"Feldman,  Morton"
"Brown,  Earle"
"La Montaine,  John"
"Reif,"
"Hovhaness,  Alan"
"Koyama,  Kiyoshige"
"Lees,  Benjamin"
"Palmer,  Robert"
"Takemitsu,  Toru"
"Perry,  Julia"
"Wuorinen,  Charles"
"Montsalvatge,  Xavier"
"Kilar,  Wojciech"
"Corigliano,  John, Jr."
"Machaut,  Guillaume  De"
"Gesualdo,  Don  Carlo"
"Babbitt,  Milton"
"Martirano,  Salvatore"
"Blomdahl,  Karl-Birger"
"Amram,  David"
"Garrido-Lecca,  Celso"
"Shchedrin,  Rodion"
"Denisov,  Edison"
"Chagrin,  Francis"
"Chen,  N."
"Zahavi,  David"
"Wilensky,  Moshe"
"Amiran,  Emanuel"
"Navon,  Yitzchak  Eliyahu"
"Reizenstein,  Franz"
"Laderman,  Ezra"
"Floyd,  Carlisle"
"Bilik,  Jerry"
"Bennett,  Richard  Rodney"
"Mitropoulos,  Dimitri"
"Rawsthorne,  Alan"
"Berio,  Luciano"
"Kuhlau,  Friedrich"
"Borge,  Victor"
"Helsted,  Edvard"
"Norgard [Nørgård],  Per"
"Casals,  Pablo"
"Serrano,  Jose"
"Cowell,  Johnny"
"Rawsthorne,  Noel"
"Perusio,  Matteus de"
"Caserta,  Anthonellus de"
"Phillips,  Peter"
"Coperiario,  Giovanni"
"Ferrabosco,  Alfonso"
"Goehr,  Alexander"
"Stockhausen,  Karlheinz"
"Pousseur,  Henri"
"Kostelanetz,  Andre"
"Smith,  Hale"
"Davidovsky,  Mario"
"Nono,  Luigi"
"Moevs,  Robert  (Walter)"
"Riesman,  Michael"
"Rzewski,  Frederic"
"Reich,  Steve"
"Crawford,  Ruth  Porter"
"Zelenka,  Jan  Dismas"
"Vejvanovsky,  Pavel  Josef"
"Brixi,  Frantisek [František]  Xaver"
"Maderna,  Bruno"
"Schafer,  R.  Murray"
"Silverman,  Stanley"
"Crumb,  George"
"Salzman,  Eric"
"Geld,  Gary"
"Li,  Huanzhi"
"Press,  Jacques"
"Druckman,  Jacob"
"Maxwell Davies,  Sir  Peter"
"Argento,  Dominick"
"Del Tredici,  David"
"Bolcom,  William"
"Penderecki,  Krzysztof"
"Skrowaczewski,  Stanislaw"
"Kraft,  William"
"Tippett,  Michael"
"Harrison,  Lou"
"Hartmann,  Karl  Amadeus"
"Reimann,  Aribert"
"Sollberger,  Harvey"
"Warren,  Elinor  Remick"
"Zimmermann,  Bernd  Alois"
"Rudhyar,  Dane"
"Birtwistle,  Harrison"
"Harris,  Donald"
"Moore,  Carman"
"Vorisek,  Jan  Vaclav"
"Lieberson,  Peter"
"Francoeur,  François"
"Coward,  Noël"
"Bacewicz,  Grazyna"
"Escot,  Pozzi"
"Musgrave,  Thea"
"Taxin,  Ira"
"Raposo,  Joe"
"Dlugoszewski,  Lucia"
"Martino,  Donald"
"Kolb,  Barbara"
"Baker,  David  J."
"Blackwood,  Easley"
"Deak,  Jon"
"Rush,  Loren"
"Gilbert,  David"
"Jablonsky,  Stephen"
"Donatoni,  Franco"
"Albright,  William"
"Plante,  Daniel"
"Myers,  Laurie"
"Subotnick,  Morton"
"Levine,  Jeffrey"
"Gaber,  Harley"
"Hodkinson,  Sydney"
"Joplin,  Scott"
"Lamb,  Joseph  Francis"
"Blake,  Eubie"
"Matthews,  Artie"
"Europe,  James  Reese"
"Reeves,  David  Wallis"
"Fillmore,  John  Comfort"
"Hampton,  Calvin"
"Perkinson,  Coleridge-Taylor"
"Hakim,  Talib  Rasul"
"Anderson,  T.J."
"Cunningham,  Arthur"
"Walker,  George"
"Saint-Georges,  Joseph Bologne  Chevalier de"
"White,  Jose  (Paul)"
"Nunes-Garcia,  José  Maurício"
"Davison,  Harriette"
"Moore,  Undine  Smith"
"Moore,  Dorothy  Rudd"
"Wilson,  Olly"
"Hailstork,  Adolphus"
"Cordero,  Roque"
"Mondonville,  Jean-Joseph  De"
"Imbrie,  Andrew"
"Colgrass,  Michael"
"Streisand,  Barbra"
"Murphy,  Walter"
"Sondheim,  Stephen"
"Johnston,  Bruce"
"Persichetti,  Vincent"
"Stock,  David"
"McKinley,  William  Thomas"
"Eliasson,  Anders"
"Dugger,  Edwin"
"Friedman,  Ignaz"
"Farina,  Carlo"
"Thomas,  Andrew"
"Cohen,  Edward"
"Mingus,  Charles"
"Edwards,  George"
"Murail,  Tristan"
"Romero,  Angel"
"Fischer,  J."
"Donaldson,  Walter"
"Fisher,  Fred"
"Meyers, Billy,  Schoebel, Elmer  and"
"King,  Karl  Lawrence"
"Duble,  Charles  Edward"
"Bassett,  Leslie"
"Taneyev,  Sergei"
"Kim,  Earl"
"Tal,  Josef"
"Tomasi,  Henri"
"Zagortsev,  Vladimir"
"Bonds,  Margaret"
"Westmoreland,"
"Susato,  Tylman"
"Neikrug,  Marc"
"Fischer,  Clare"
"Kubelik [Kubelík],  Rafael"
"Shankar,  Ravi"
"Doppler,  (Albert)  Franz"
"Schultze,  Johann  Christian"
"Clarke,  Herbert  Lincoln"
"Samuel,  Gerhard"
"Cottrau,  Teodoro"
"Gabriel,  Charles  H."
"Marx,  Joseph"
"Tower,  Joan"
"Balada,  Leonardo"
"Kotzwara,  Franz"
"Shaw,  Oliver"
"Herrick,  Joseph"
"Holyoke,  Samuel"
"Trojahn,  Manfred"
"Consoli,  Marc-Antonio"
"Lerdahl,  Fred"
"Harbison,  John"
"Rosenman,  Leonard"
"Balassa,  Sandor"
"Adams,  John"
"Kernis,  Aaron  Jay"
"Thorne,  Nicholas"
"Rands,  Bernard"
"Schwantner,  Joseph"
"Street,  Tison"
"Mercure,  Pierre"
"Avshalomov,  Jacob"
"Arutunian,  Alexander"
"Dempster,  Stuart"
"Erickson,  Robert"
"Galas [Galás],  Diamanda"
"Rouse,  Christopher"
"Beaser,  Robert"
"Erb,  Donald"
"McNabb,  Michael"
"Spiegel,  Laurie"
"Dodge,  Charles"
"Chowning,  John  MacLeod"
"Yuasa,  Joji"
"Risset,  Jean-Claude"
"Lansky,  Paul"
"Hoeller,  York"
"Reynolds,  Roger"
"Drummond,  Dean"
"La Barbara,  Joan"
"Dick,  Robert"
"Bresnick,  Martin"
"Jolas,  Betsy"
"Amy,  Gilbert"
"Knussen,  Oliver"
"Davis,  Anthony"
"Sculthorpe,  Peter"
"Bazelon,  Irwin"
"Albrechtsberger,  Johann  G."
"Wyre,  John"
"Gubaidulina,  Sofia"
"Noon,  David"
"Schulhoff,  Erwin"
"Williams,  Julius"
"Karmen,  Steve"
"Subramaniam,  Lakshminarayana"
"Sohal,  Naresh"
"Warshaw,  Dalit  Paz"
"Schnittke,  Alfred"
"Sinopoli,  Giuseppe"
"Bussotti,  Sylvano"
"Speer,  Daniel"
"Calvert,  Morley"
"Furtwangler [Furtwängler],  Wilhelm"
"Dufourt,  Hugues"
"Novak,  Jan"
"Molter,  Johann  Melchior"
"Nancarrow,  Conlon"
"Ruders,  Poul"
"Kagel,  Mauricio"
"Olivero,  Betty"
"Andriessen,  Louis"
"Paert [Pärt],  Arvo"
"Dresher,  Paul"
"Williams,  John"
"Sorozabal,  Pablo"
"Husa,  Karel"
"Berio,  Adolfo"
"Castiglioni,  Niccolò"
"Matthus,  Siegfried"
"Jacob,  Gordon"
"Berkeley,  Sir  Lennox"
"Spisak,  Michal"
"Zarebski,  Juliusz"
"Bach,  P.D.Q."
"Schickele,  Peter"
"May,  Robert  C."
"Lindroth,  Scott"
"Hartke,  Stephen"
"Dahl,  Ingolf"
"Rex,  Charles  Gordon"
"Benjamin,  George"
"Duvernoy,  Frederic  Nicolas"
"Lewis,  John"
"Alt,  Bernhard"
"Zwilich,  Ellen  Taaffe"
"Gastaldon,  Stanislas"
"Wolfe,  Stanley"
"Quantz,  Johann  Joachim"
"Stenhammar,  Wilhelm"
"Coolidge,  Peggy  Stuart"
"Friedrich,  Alexander"
"Turrin,  Joseph"
"Kellaway,  Roger"
"Matiegka,  Wenzel  Thomas"
"Cerchio,  Bruno"
"Fuchs,  Kenneth"
"Slonimsky,  Sergei"
"Knight,  Edward"
"Drattell,  Deborah"
"Thomas,  Augusta  Read"
"Hagen,  Daron"
"Daugherty,  Michael"
"Hoffer,  Bernard"
"Hetu [Hétu],  Jacques"
"Lang,  David"
"Mercurio,  Steven"
"Raats [Rääts],  Jaan"
"Ge,  Gangru"
"Sierra,  Roberto"
"Baker,  Claude"
"Dring,  Madeleine"
"Grandjany,  Marcel"
"Picker,  Tobias"
"Wallach,  Joelle"
"Morawetz,  Oskar"
"Sheng,  Bright"
"Ramey,  Phillip"
"Torke,  Michael"
"Bixio,  Cesare  Andrea"
"Di Lazzaro,  Eldo"
"Di Crescenza,"
"Hertel,  Johann  Wilhelm"
"Hollaender,  Friedrich"
"Meisel,  Edmund"
"Nick,  Edmund"
"Nelson,  Rudolf"
"Eisler,  Hans"
"Reinitz,  Béla"
"Spoliansky,  Mischa"
"Nelson,  Ron"
"Langgaard,  Rued"
"Berwald,  Franz  Adolf"
"Stich,  Jan  Vaclav"
"Paulus,  Stephen"
"Bowles,  Paul"
"Oliveros,  Pauline"
"Riley,  Terry"
"Miki,  Minoru"
"Kokkonen,  Joonas"
"Bowen,  York"
"Albert,  Stephen"
"Blumenfeld,  Felix"
"Devienne,  François"
"Ewazen,  Eric"
"Tubin,  Eduard"
"Schoenfield,  Paul"
"Rush,  Stephen"
"Renwick,  Wilke"
"Horowitz,  Joseph"
"Dodd,  Jimmie"
"Dessau,  Paul"
"Tamberg,  Eino"
"Scheidt,  Samuel"
"Dedrick,  Christopher"
"Rollins,  Walter  E."
"Brodsky,  Nicholas"
"Danielpour,  Richard"
"Chaynes,  Charles"
"Paz,  Xavier  de"
"Milan [Milán],  Luys"
"Mudarra,  Alonso  de"
"Sanz,  Gaspar"
"Sor,  Fernando"
"Romero,  Celedonio"
"Pollack,  Lew"
"Gale,  Jack"
"Waller,  Fats  (Thomas)"
"MacMillan,  James"
"Pleyel,  Ignaz"
"Koper,  Karl-Heinz  (Köper)"
"Hawkins,  Walter"
"Dorsey,  Thomas  Andrew"
"Sametz,  Steven"
"Katzer,  Georg"
"Perle,  George"
"Hurd,  David"
"Dawson,  Mary  Cardwell"
"Carter,  Henry"
"Holland,  M.  Roger, III"
"Sebesky,  Don"
