work_id,name,role,instrument
3901*,Liederkranz of the City of New York,S,Mens Chorus
3907*,"Rapetti, M.",S,Violin
3910*,Liederkranz of the City of New York,S,Mens Chorus
8957*17,"Horn, C.E.",S,Vocalist
52492*,"Hoffman, Richard",S,Piano
1810*4,"Horn, C.E.",S,Vocalist
3923*,"Scharfenberg, William",S,Piano
3923*,"Timm, Henry C.",S,Piano
8955*5,Arthurson,S,Vocalist
3933*,"Kyle, John A.",A,Flute
3933*,"Starck, F.",A,Clarinet
3933*,"Wiese, Frederick",A,Oboe
3933*,"Woehning, F. C.",A,French Horn
3933*,"Reiff, Anton, Sr.",A,Bassoon
8849*10,Arthurson,S,Vocalist
8955*5,Arthurson,S,Vocalist
3940*,"Scharfenberg, William",S,Piano
3945*,"Leach, S. L.",S,Vocalist
3945*,"Boucher, Alfred",A,Cello
3745*3,"Leach, S. L.",S,Vocalist
3745*3,Arthurson,S,Vocalist
3956*,"Elena, Luigi",S,Violin
50731*,"Hoffman, Richard",S,Piano
3972*,"Eltz, Paul",S,Bassoon
3976*,"Haase, Carl F.W.",S,Trumpet
3983*,"Schmitz, Henry",S,French Horn
3478*,"Scharfenberg, William",S,Piano
3478*,"Dresel, Otto",S,Piano
3991*,"Distin, and His Sons",S,Saxhorn
3991*,"Willy, J.",A,Piano
3996*,"Distin, and His Sons",S,Saxhorn
3996*,"Willy, J.",A,Piano
3999*,"Timm, Henry C.",A,Piano
3999*,"Kyle, John A.",A,Flute
3999*,"Wiese, Frederick",A,Oboe
3999*,"Schmitz, Henry",A,French Horn
3999*,Poppenberg,A,Tenor
3999*,"Boucher, Alfred",A,Cello
3999*,"Jacoby, Charles W.",A,Contrabass
4002*,"Kyle, John A.",S,Flute
52502*,"Burke, Joseph",S,Violin
52487*,"Scharfenberg, William",S,Piano
3764*,"Reitzel, F.",A,Flute
3764*,"Wiese, Frederick",A,Oboe
3764*,"Starck, F.",A,Clarinet
3764*,"Eltz, Paul",A,Bassoon
3764*,"Schmitz, Henry",A,French Horn
5801*4,Chorus,S,Womens Chorus
5801*4,De Luce,S,Vocalist
5801*4,"Jones, L. A.",S,Vocalist
5801*14,Chorus,S,Womens Chorus
3784*,"Timm, Henry C.",S,Piano
4026*,"Noll, Joseph",S,Violin
4026*,"Bristow, George Frederick",S,Violin
4026*,"Reyer, H.",S,Violin
4026*,"Perkins, James W.",S,Violin
4031*,"Benedict, Jules",S,Piano
4031*,"Timm, Henry C.",S,Piano
4036*,"Schmitz, Henry",S,French Horn
4040*,"Noll, Joseph",S,Violin
52482*,Liederkranz of the City of New York,S,Mens Chorus
4048*,"Bristow, George Frederick",S,Piano
52487*,"Scharfenberg, William",S,Piano
4055*,"Reitzel, F.",S,Flute
8849*14,"Bouchelle, Wallace",S,Vocalist
4064*,"Noll, Joseph",S,Violin
4064*,"Reyer, H.",S,Violin
4068*,"Bouchelle, Wallace",S,Vocalist
4075*,"Appy, Henri",S,Violin
52506*5,"Mayer, Philip",S,Baritone
50710*,"Drescher, J. E.",S,Clarinet
52492*,"Goldschmidt, Otto",S,Piano
