work_id,name,role,instrument
52551*2,"Gadski, Johanna",S,Soprano
52551*5,"Gadski, Johanna",S,Soprano
9004*14,"Gadski, Johanna",S,Soprano
8868*6,"Gadski, Johanna",S,Soprano
52551*2,"Gadski, Johanna",S,Soprano
52551*5,"Gadski, Johanna",S,Soprano
9004*14,"Gadski, Johanna",S,Soprano
3181*,"Stojowski, Sigismond",S,Piano
9003*4,"Barbour, Inez",S,Soprano
4234*,"Niessen-Stone, Von",S,Mezzo-Soprano
4234*,"Saslavsky, Alexander",A,Violin
8963*22,"Janpolski, Albert G.",S,Baritone
563*,"Powell, Maud",S,Violin
563*,"Powell, Maud",S,Violin
6004*,"Macmillen, Francis",S,Violin
2881*1,"Macmillen, Francis",S,Violin
52295*,"Rosenthal, Moritz",S,Piano
52295*,"Rosenthal, Moritz",S,Piano
52655*,Bach Choir of Montclair,A,Mens Chorus
9001*13,"Burgstaller, Alois",S,Tenor
9007*19,"Burgstaller, Alois",S,Tenor
52655*,Bach Choir of Montclair,A,Mens Chorus
9001*13,"Burgstaller, Alois",S,Tenor
9007*19,"Burgstaller, Alois",S,Tenor
54106*,"Lhevinne, Josef",S,Piano
54106*,"Lhevinne, Josef",S,Piano
54106*,"Gabrilowitsch, Ossip",S,Piano
54106*,"Gabrilowitsch, Ossip",S,Piano
6499*,"Schulz, Leo",S,Cello
6499*,"Schulz, Leo",S,Cello
2068*,"Heermann, Hugo",S,Violin
2068*,"Heermann, Hugo",S,Violin
50087*,"Ruegger, Elsa",S,Cello
50087*,"Ruegger, Elsa",S,Cello
53646*,"Samaroff, Olga",S,Piano
53646*,"Samaroff, Olga",S,Piano
51682*3,"Sammarco, Mario",S,Baritone
8839*5,"Sammarco, Mario",S,Baritone
8849*17,"Sammarco, Mario",S,Baritone
51682*3,"Sammarco, Mario",S,Baritone
8839*5,"Sammarco, Mario",S,Baritone
8849*17,"Sammarco, Mario",S,Baritone
3888*12,"Rider-Kelsey, Corinne",S,Soprano
1855*,"Rider-Kelsey, Corinne",S,Soprano
3888*12,"Rider-Kelsey, Corinne",S,Soprano
1855*,"Rider-Kelsey, Corinne",S,Soprano
6271*1,"Gilibert, Charles",S,Vocalist
9431*,"Gilibert, Charles",S,Vocalist
9433*,"Gilibert, Charles",S,Vocalist
9434*,"Gilibert, Charles",S,Vocalist
8849*17,"Gilibert, Charles",S,Vocalist
9432*1,"Gilibert, Charles",S,Vocalist
6209*,"Lhevinne, Josef",S,Piano
6209*,"Lhevinne, Josef",S,Piano
3685*,"Kreisler, Fritz",S,Violin
3685*,"Kreisler, Fritz",S,Violin
7175*1,"Sassard, Eugenie",S,Soprano
7175*1,"Sassard, Virginia",S,Contralto
7175*2,"Sassard, Eugenie",S,Soprano
7175*2,"Sassard, Virginia",S,Contralto
7175*3,"Sassard, Eugenie",S,Soprano
7175*3,"Sassard, Virginia",S,Contralto
7175*4,"Sassard, Eugenie",S,Soprano
7175*4,"Sassard, Virginia",S,Contralto
7175*5,"Sassard, Eugenie",S,Soprano
7175*5,"Sassard, Virginia",S,Contralto
4713*,"Kirkby-Lunn, Louise",S,Contralto
6401*3,"Kirkby-Lunn, Louise",S,Contralto
4713*,"Kirkby-Lunn, Louise",S,Contralto
6401*3,"Kirkby-Lunn, Louise",S,Contralto
53646*,"Ganz, Rudolph",S,Piano
50265*,"Dethier, Edouard",S,Violin
50265*,"Dethier, Edouard",S,Violin
7310*,"Hofmann, Josef",S,Piano
7316*,"Hofmann, Josef",S,Piano
7317*,"Hofmann, Josef",S,Piano
7318*,"Hofmann, Josef",S,Piano
7310*,"Hofmann, Josef",S,Piano
7316*,"Hofmann, Josef",S,Piano
7317*,"Hofmann, Josef",S,Piano
7318*,"Hofmann, Josef",S,Piano
51320*2,"Beddoe, Dan F.",S,Tenor
51320*2,Bach Choir of Montclair,S,Chorus
3181*,"Schelling, Ernest",S,Piano
53093*,"Campbell, Rosemarie",S,Contralto
53093*,"Beddoe, Dan F.",S,Tenor
53093*,Bach Choir of Montclair,S,Chorus
51320*2,"Beddoe, Dan F.",S,Tenor
51320*2,Bach Choir of Montclair,S,Chorus
3181*,"Schelling, Ernest",S,Piano
53093*,"Campbell, Rosemarie",S,Contralto
53093*,"Beddoe, Dan F.",S,Tenor
53093*,Bach Choir of Montclair,S,Chorus
54106*,"Carreño, Teresa",S,Piano
51060*,"Dufault, Paul",A,Tenor
51060*,Schubert Glee Club,A,Chorus
52752*,"Schumann-Heink, Ernestine",S,Soprano
52752*,Schubert Glee Club,S,Chorus
9000*8,"Schumann-Heink, Ernestine",S,Soprano
9004*7,"Schumann-Heink, Ernestine",S,Mezzo-Soprano
51060*,"Dufault, Paul",A,Tenor
51060*,Schubert Glee Club,A,Chorus
52752*,"Schumann-Heink, Ernestine",S,Soprano
52752*,Schubert Glee Club,S,Chorus
9000*8,"Schumann-Heink, Ernestine",S,Soprano
9004*7,"Schumann-Heink, Ernestine",S,Mezzo-Soprano
4300*,"Kreisler, Fritz",S,Violin
51095*,"Kreisler, Fritz",S,Violin
4300*,"Kreisler, Fritz",S,Violin
51095*,"Kreisler, Fritz",S,Violin
551*,"Bauer, Harold",S,Piano
551*,"Bauer, Harold",S,Piano
9834*2,"String Section, Entire",A,Orchestra
53646*,"Goodson, Katharine",S,Piano
9834*2,"String Section, Entire",A,Orchestra
53646*,"Goodson, Katharine",S,Piano
7356*,"Bloomfield-Zeisler, Fannie",S,Piano
8963*,"O'Brien, Rose",S,Mezzo-Soprano
8963*,"Moss, Hissam de",S,Soprano
8963*,Taylor-Jones,S,Contralto
8963*,"Gogorza, Emilio Edoardo de",S,Baritone
8963*,"Hoose, Ellison Van",S,Tenor
8963*,"Daniels, Tom",S,Bass
8963*,"Dufault, Paul",S,Tenor
8963*,Oratorio Society of New York,S,Chorus
8963*,"O'Brien, Rose",S,Mezzo-Soprano
8963*,"Moss, Hissam de",S,Soprano
8963*,Taylor-Jones,S,Contralto
8963*,"Gogorza, Emilio Edoardo de",S,Baritone
8963*,"Hoose, Ellison Van",S,Tenor
8963*,"Daniels, Tom",S,Bass
8963*,"Dufault, Paul",S,Tenor
8963*,Oratorio Society of New York,S,Chorus
50949*,"Gerardy, Jean",S,Cello
50949*,"Gerardy, Jean",S,Cello
50083*,"Bramsen, Henry",S,Cello
2043*,"Schelling, Ernest",S,Piano
8963*,"O'Brien, Rose",S,Mezzo-Soprano
8963*,"Moss, Hissam de",S,Soprano
8963*,Taylor-Jones,S,Contralto
8963*,"Gogorza, Emilio Edoardo de",S,Baritone
8963*,"Miller, Reed",S,Tenor
8963*,"Daniels, Tom",S,Bass
8963*,"Dufault, Paul",S,Tenor
8963*,Oratorio Society of New York,S,Chorus
51328*,"Kovarik, Josef J.",A,Viola
6225*,"Hofmann, Josef",S,Piano
51328*,"Kovarik, Josef J.",A,Viola
6225*,"Hofmann, Josef",S,Piano
1855*,"Jomelli, Jeanne",S,Soprano
1622*2,"Addimando, Caesare",A,Oboe
1622*2,"Labate, Bruno",A,Oboe
1622*2,"Tabuteau, Marcel",A,English Horn
1622*4,"Addimando, Caesare",A,Oboe
1622*4,"Labate, Bruno",A,Oboe
1622*4,"Tabuteau, Marcel",A,English Horn
7055*,"Jomelli, Jeanne",S,Soprano
7054*1,"Lansing, Mary",S,Mezzo-Soprano
7054*3,"Lansing, Mary",S,Mezzo-Soprano
7054*4,"Cunningham, Claude A.",S,Baritone
51023*,"Mannes, David",S,Violin
8837*14,"Stoddart, Marie",S,Soprano
8837*14,"Lansing, Mary",S,Mezzo-Soprano
8837*14,"Miller, Reed",S,Tenor
8837*14,"Cunningham, Claude A.",S,Baritone
7054*1,"Lansing, Mary",S,Mezzo-Soprano
7054*3,"Lansing, Mary",S,Mezzo-Soprano
7054*4,"Cunningham, Claude A.",S,Baritone
51023*,"Mannes, David",S,Violin
8837*14,"Stoddart, Marie",S,Soprano
8837*14,"Lansing, Mary",S,Mezzo-Soprano
8837*14,"Miller, Reed",S,Tenor
8837*14,"Cunningham, Claude A.",S,Baritone
8837*18,"Jomelli, Jeanne",S,Soprano
9006*3,"Jomelli, Jeanne",S,Soprano
8837*18,"Jomelli, Jeanne",S,Soprano
9006*3,"Jomelli, Jeanne",S,Soprano
5436*,"Lansing, Mary",S,Mezzo-Soprano
7056*2,"Damrosch, Walter",A,Harpsichord
7056*2,"Barrere [Barrère], Georges",A,Flute
7056*2,"Mesnard, Auguste",A,Bassoon
7056*3,"Damrosch, Walter",A,Harpsichord
7056*3,"Barrere [Barrère], Georges",A,Flute
7056*3,"Mesnard, Auguste",A,Bassoon
52364*2,"Jomelli, Jeanne",S,Soprano
52364*5,"Jomelli, Jeanne",S,Soprano
54106*,"Carreño, Teresa",S,Piano
54106*,"Carreño, Teresa",S,Piano
8024*2,"Cunningham, Claude A.",S,Baritone
8024*2,"Saslavsky, Alexander",A,Violin
8024*2,"Bramsen, Henry",A,Cello
8024*2,"Damrosch, Walter",A,Piano
8024*3,"Cunningham, Claude A.",S,Baritone
8024*3,"Saslavsky, Alexander",A,Violin
8024*3,"Bramsen, Henry",A,Cello
8024*3,"Damrosch, Walter",A,Piano
8024*20,"Cunningham, Claude A.",S,Baritone
8024*20,"Saslavsky, Alexander",A,Violin
8024*20,"Bramsen, Henry",A,Cello
8024*20,"Damrosch, Walter",A,Piano
8024*7,"Cunningham, Claude A.",S,Baritone
8024*7,"Saslavsky, Alexander",A,Violin
8024*7,"Bramsen, Henry",A,Cello
8024*7,"Damrosch, Walter",A,Piano
7824*,"Cunningham, Claude A.",S,Baritone
7824*,"Damrosch, Walter",A,Piano
7053*3,"Cunningham, Claude A.",S,Baritone
7053*3,"Damrosch, Walter",A,Piano
383*3,"String Section, Entire",A,Orchestra
52461*,"Jomelli, Jeanne",S,Soprano
52461*,"Lansing, Mary",S,Mezzo-Soprano
52461*,"Miller, Reed",S,Tenor
52461*,"Cunningham, Claude A.",S,Baritone
52461*,Oratorio Society of New York,S,Chorus
52461*,Mount Vernon Choral Society,S,Chorus
8402*,People's Choral Union,S,Chorus
8402*,"Fine, Beatrice",S,Soprano
8402*,"Beddoe, Dan F.",S,Tenor
8402*,"Evans, Edwin",S,Bass
6209*,"Lhevinne, Josef",S,Piano
2349*,"Spalding, Albert",S,Violin
4073*,"Spalding, Albert",S,Violin
2349*,"Hartmann, Arthur",S,Violin
2349*,"Hartmann, Arthur",S,Violin
50951*2,"Leroy, Leon",S,Clarinet
50954*1,"Barrere [Barrère], Georges",S,Flute
50954*2,"Barrere [Barrère], Georges",S,Flute
2956*8,"Duncan, Isadora",S,Dancer
2956*9,"Duncan, Isadora",S,Dancer
2956*8,"Duncan, Isadora",S,Dancer
2956*10,"Duncan, Isadora",S,Dancer
2956*11,"Duncan, Isadora",S,Dancer
2956*12,"Duncan, Isadora",S,Dancer
2956*13,"Duncan, Isadora",S,Dancer
2956*14,"Duncan, Isadora",S,Dancer
2956*15,"Duncan, Isadora",S,Dancer
2956*8,"Duncan, Isadora",S,Dancer
2956*24,"Duncan, Isadora",S,Dancer
2956*17,"Duncan, Isadora",S,Dancer
2956*25,"Duncan, Isadora",S,Dancer
2956*26,"Duncan, Isadora",S,Dancer
2956*27,"Duncan, Isadora",S,Dancer
50358*,"Schroeder, Alwin",S,Cello
51694*,"Schroeder, Alwin",S,Cello
50358*,"Schroeder, Alwin",S,Cello
51694*,"Schroeder, Alwin",S,Cello
3467*,"Rider-Kelsey, Corinne",S,Soprano
3467*,"Rider-Kelsey, Corinne",S,Soprano
52827*,"Combs, Laura L.",S,Soprano
52827*,"Bailey, Gertrude Stein",S,Alto
52827*,Oratorio Society of New York,S,Chorus
6227*,"Lhevinne, Josef",S,Piano
6227*,"Lhevinne, Josef",S,Piano
10317*,"Bispham, David Scull",A,Bass
10320*,"Bispham, David Scull",A,Bass
10321*,"Bispham, David Scull",A,Bass
10318*,"Bispham, David Scull",A,Bass
9003*8,"Jomelli, Jeanne",S,Soprano
9004*14,"Jomelli, Jeanne",S,Soprano
8957*15,"Farrar, Geraldine",S,Vocalist
7213*1,"Farrar, Geraldine",S,Vocalist
7323*,"Farrar, Geraldine",S,Vocalist
7893*1,"Farrar, Geraldine",S,Vocalist
7893*1,"Damrosch, Walter",A,Piano
7832*,"Farrar, Geraldine",S,Vocalist
616*,"Farrar, Geraldine",S,Vocalist
616*,"Damrosch, Walter",A,Piano
8957*15,"Farrar, Geraldine",S,Vocalist
7213*1,"Farrar, Geraldine",S,Vocalist
7323*,"Farrar, Geraldine",S,Vocalist
7893*1,"Farrar, Geraldine",S,Vocalist
7893*1,"Damrosch, Walter",A,Piano
7832*,"Farrar, Geraldine",S,Vocalist
616*,"Farrar, Geraldine",S,Vocalist
616*,"Damrosch, Walter",A,Piano
5531*,"Schulz, Leo",S,Cello
5531*,"Schulz, Leo",S,Cello
2293*,"Saslavsky, Alexander",S,Violin
551*,"Schnitzer, Germaine",S,Piano
551*,"Schnitzer, Germaine",S,Piano
52487*,"Gabrilowitsch, Ossip",S,Piano
4685*,"Gabrilowitsch, Ossip",S,Piano
11920*,"Gabrilowitsch, Ossip",S,Piano
5658*,"Gabrilowitsch, Ossip",S,Piano
52487*,"Gabrilowitsch, Ossip",S,Piano
7348*,"Gabrilowitsch, Ossip",S,Piano
52492*,"Bloomfield-Zeisler, Fannie",S,Piano
1855*,"Jomelli, Jeanne",S,Soprano
7056*,"Barrere [Barrère], Georges",A,Flute
7056*,"Mesnard, Auguste",A,Bassoon
7056*,"Damrosch, Walter",A,Harpsichord
52506*,"Jomelli, Jeanne",S,Soprano
52506*,"Spencer, Janet",S,Contralto
52506*,"Beddoe, Dan F.",S,Tenor
52506*,"Bispham, David Scull",S,Baritone
52506*,Oratorio Society of New York,S,Chorus
10613*,"Rider-Kelsey, Corinne",S,Soprano
4073*1,"Spalding, Albert",S,Violin
9329*,"Rider-Kelsey, Corinne",S,Soprano
2238*,"Mannes, David",S,Violin
2238*,"Mannes, Clara",S,Piano
7054*1,"Keyes, Margaret",S,Vocalist
7054*3,"Keyes, Margaret",S,Vocalist
7054*4,"Keyes, Margaret",S,Vocalist
3904*,"Mannes, David",S,Violin
52502*,"Elman, Mischa",S,Violin
52502*,"Elman, Mischa",S,Violin
7908*,"Kefer, Paul",S,Cello
3455*,"Wuellner, Ludwig",S,Vocalist
3455*,"Bos, Coenraad V.",A,Piano
6118*,"Rogers, Francis",S,Vocalist
6118*,"Damrosch, Walter",A,Piano
7545*,"Rogers, Francis",S,Vocalist
7545*,"Damrosch, Walter",A,Piano
7547*,"Rogers, Francis",S,Vocalist
7547*,"Damrosch, Walter",A,Piano
7544*,"Rogers, Francis",S,Vocalist
7544*,"Damrosch, Walter",A,Piano
52364*2,"Schaffer, Josephine",S,Vocalist
52364*5,"Schaffer, Josephine",S,Vocalist
50029*,"Petschnikoff, Alexander",S,Violin
8024*,"Weld, Frederick",S,Bass
8024*,"Saslavsky, Alexander",A,Violin
8024*,"Kefer, Paul",A,Cello
8024*,"Damrosch, Walter",A,Piano
7824*,"Weld, Frederick",S,Bass
7053*3,"Weld, Frederick",S,Bass
52461*,"Goold, Edith Chapman",S,Soprano
52461*,"Fine, Beatrice",S,Soprano
52461*,Fechheimer,S,Soprano
52461*,"Arnold, B. King",S,Alto
52461*,Gue,S,Alto
52461*,"Nobbes, E. B.",S,Alto
52461*,"Miller, Reed",S,Tenor
52461*,"Bland, John",S,Tenor
52461*,"Becker, Delos",S,Tenor
52461*,"Bastow, Henry",S,Tenor
52461*,"Weld, Frederick",S,Bass
52461*,"Jahn, Edmund A.",S,Bass
52461*,"Sarto, Andreas",S,Bass
52461*,Oratorio Society of New York,S,Chorus
52461*,"Goold, Edith Chapman",S,Soprano
52461*,"Fine, Beatrice",S,Soprano
52461*,Fechheimer,S,Soprano
52461*,"Arnold, B. King",S,Alto
52461*,Gue,S,Alto
52461*,"Nobbes, E. B.",S,Alto
52461*,"Miller, Reed",S,Tenor
52461*,"Bland, John",S,Tenor
52461*,"Becker, Delos",S,Tenor
52461*,"Bastow, Henry",S,Tenor
52461*,"Weld, Frederick",S,Bass
52461*,"Jahn, Edmund A.",S,Bass
52461*,"Sarto, Andreas",S,Bass
52461*,Oratorio Society of New York,S,Chorus
8991*,"Kaschowska, Felicia",S,Soprano
8991*,"Damrosch, Walter",A,Piano
7543*,"Kaschowska, Felicia",S,Soprano
7543*,"Damrosch, Walter",A,Piano
8992*,"Kaschowska, Felicia",S,Soprano
8992*,"Damrosch, Walter",A,Piano
8993*,"Kaschowska, Felicia",S,Soprano
8993*,"Damrosch, Walter",A,Piano
11903*,"Elwes, Gervase",S,Tenor
11904*,"Elwes, Gervase",S,Tenor
11905*,"Elwes, Gervase",S,Tenor
11906*,"Elwes, Gervase",S,Tenor
52461*,"Rider-Kelsey, Corinne",S,Soprano
52461*,"Spencer, Janet",S,Contralto
52461*,"Beddoe, Dan F.",S,Tenor
52461*,"Watrous, Herbert",S,Bass
52461*,Bach Choir of Montclair,S,Chorus
6236*,"Mahler, Gustav",S,Clavier
6239*1,"Rider-Kelsey, Corinne",S,Soprano
6239*1,"Mahler, Gustav",A,Clavier
2263*,"Spiering, Theodore",S,Violin
2263*,"Mahler, Gustav",A,Clavier
318*1,"Rider-Kelsey, Corinne",S,Soprano
2068*,"Kreisler, Fritz",S,Violin
2068*,"Kreisler, Fritz",S,Violin
7249*1,"Gilibert, Charles",S,Vocalist
51478*2,"Gilibert, Charles",S,Vocalist
6271*1,"Gilibert, Charles",S,Vocalist
51051*,"Elvyn, Myrtle",S,Piano
6236*,"Mahler, Gustav",S,Clavier
50731*,"Carreño, Teresa",S,Piano
6236*,"Mahler, Gustav",S,Clavier
50731*,"Carreño, Teresa",S,Piano
2214*,"Rachmaninoff, Sergei",S,Piano
2214*,"Rachmaninoff, Sergei",S,Piano
52453*2,"Duncan, Isadora",S,Dancer
52453*5,"Duncan, Isadora",S,Dancer
9125*,"Duncan, Isadora",S,Dancer
9780*2,"Duncan, Isadora",S,Dancer
9780*1,"Duncan, Isadora",S,Dancer
9777*,"Duncan, Isadora",S,Dancer
9778*,"Duncan, Isadora",S,Dancer
9779*,"Duncan, Isadora",S,Dancer
2621*,"Duncan, Isadora",S,Dancer
2978*,"Duncan, Isadora",S,Dancer
2988*1,"Duncan, Isadora",S,Dancer
87*,"Duncan, Isadora",S,Dancer
2309*,"Duncan, Isadora",S,Dancer
52502*,"Powell, Maud",S,Violin
52228*,"Malkin, Joseph",S,Cello
3888*19,"Alten, Bella",S,Soprano
8957*3,"Alten, Bella",S,Soprano
51051*,"Mero, Yolanda",S,Piano
9008*12,"Mannes, David",A,Violin
9004*14,No Soloist,S,Other
9008*12,"Mannes, David",A,Violin
9004*14,No Soloist,S,Other
9417*,Musical Art Society,S,Chorus
9418*,Musical Art Society,S,Chorus
9419*,Musical Art Society,S,Chorus
9420*,Musical Art Society,S,Chorus
9421*,Musical Art Society,S,Chorus
9421*,"Baker, Charles A.",A,Organ
9422*,Musical Art Society,S,Chorus
9422*,"Baker, Charles A.",A,Organ
9423*2,Musical Art Society,S,Chorus
9423*2,"Baker, Charles A.",A,Organ
50235*,"Heinrich, Julia",S,Vocalist
50235*,Musical Art Society,S,Mens Chorus
9424*,Musical Art Society,S,Chorus
7153*,Musical Art Society,S,Chorus
51850*,Musical Art Society,S,Chorus
52502*,"Powell, Maud",S,Violin
2068*,"Powell, Maud",S,Violin
53646*,"Carreño, Teresa",S,Piano
53646*,"Carreño, Teresa",S,Piano
3548*,"Busoni, Ferruccio B.",S,Piano
3548*,"Busoni, Ferruccio B.",S,Piano
6236*,"Mahler, Gustav",S,Clavier
5643*,"Busoni, Ferruccio B.",S,Piano
9004*14,No Soloist,S,Other
6236*,"Mahler, Gustav",S,Clavier
2214*,"Rachmaninoff, Sergei",S,Piano
9004*14,No Soloist,S,Other
9004*14,No Soloist,S,Other
9004*14,No Soloist,S,Other
52638*3,Musical Art Society,S,Womens Chorus
5448*3,"Harris, George, Jr.",S,Tenor
7153*,Musical Art Society,S,Chorus
7158*,"Heinrich, Julia",S,Vocalist
7159*,"Barrere [Barrère], Georges",S,Flute
9008*12,"Mannes, David",A,Violin
9004*14,No Soloist,S,Other
52637*,"Wuellner, Ludwig",S,Baritone
6246*,"Wuellner, Ludwig",S,Baritone
6249*,"Wuellner, Ludwig",S,Baritone
6394*,"Wuellner, Ludwig",S,Baritone
6251*,"Wuellner, Ludwig",S,Baritone
52637*,"Wuellner, Ludwig",S,Baritone
6246*,"Wuellner, Ludwig",S,Baritone
6249*,"Wuellner, Ludwig",S,Baritone
6394*,"Wuellner, Ludwig",S,Baritone
6251*,"Wuellner, Ludwig",S,Baritone
551*,"Gallico, Paolo",S,Piano
51207*,"Gebhard, Heinrich",S,Piano
8984*,"Martin, Riccardo",S,Tenor
8985*,"Martin, Riccardo",S,Tenor
7174*4,"Martin, Riccardo",S,Tenor
9007*19,"Martin, Riccardo",S,Tenor
1855*,"Koenen, Tilly",S,Contralto
6401*3,"Koenen, Tilly",S,Contralto
6283*,"Koenen, Tilly",S,Contralto
6136*,"Koenen, Tilly",S,Contralto
1855*,"Koenen, Tilly",S,Contralto
6401*3,"Koenen, Tilly",S,Contralto
6283*,"Koenen, Tilly",S,Contralto
6136*,"Koenen, Tilly",S,Contralto
51328*,"Verney, Romain",A,Viola
51306*25,"Kellerman, Marcus",S,Bass
51306*11,"Kellerman, Marcus",S,Bass
51328*,"Verney, Romain",A,Viola
52638*3,Musical Art Society,S,Womens Chorus
7158*,"Heinrich, Julia",S,Mezzo-Soprano
1855*,"Koenen, Tilly",S,Contralto
6401*3,"Koenen, Tilly",S,Contralto
6283*,"Koenen, Tilly",S,Contralto
6136*,"Koenen, Tilly",S,Contralto
9001*10,"Amato, Pasquale",S,Baritone
9007*1,"Amato, Pasquale",S,Baritone
9281*,"Ochs, Erich",S,Viola tenore
9426*,"Ochs, Erich",S,Viola tenore
9428*,"Mannes, David",S,Violin
9427*,Mihr-Hardy,S,Soprano
9427*,"Spencer, Janet",S,Contralto
9427*,"Chapman, Edith R.",S,Soprano
9427*,"Kellerman, Marcus",S,Bass
9427*,"Norden, Berrick von",S,Tenor
9427*,People's Choral Union,S,Chorus
9427*,Oratorio Society of New York,S,Chorus
9427*,"Shattuck, Frederic G.",S,Organ
52638*,Macdowell Chorus,S,Chorus
52638*,Macdowell Chorus,S,Chorus
8403*,Catholic Oratorio Society,S,Chorus
8403*,"Hudson, Caroline",S,Soprano
8403*,"Mylott, Eva",S,Contralto
8403*,"Miller, Reed",S,Tenor
8403*,"Croxton, Frank",S,Baritone
6236*,"Mahler, Gustav",S,Harpsichord
6236*,"Jepson, Harry",S,Organ
53646*,"Samaroff, Olga",S,Piano
6236*,"Mahler, Gustav",S,Harpsichord
6239*1,"Rider-Kelsey, Corinne",S,Soprano
8957*15,"Rider-Kelsey, Corinne",S,Soprano
3304*,"Spiering, Theodore",S,Violin
6236*,"Mahler, Gustav",S,Harpsichord
7048*,"Biden, Sydney",S,Vocalist
52461*,Oratorio Society of New York,S,Chorus
52461*,"Maley, Turney",S,Soprano
52461*,"Harriss, Estelle",S,Soprano
52461*,"Miller, Margaret",S,Soprano
52461*,"Reardon, Mildred G.",S,Soprano
52461*,"Hussey, Ada C.",S,Alto
52461*,"Mulford, Florence",S,Alto
52461*,"Veer, Nevada vander",S,Alto
52461*,"Marvin, Cornelia",S,Alto
52461*,"Kitchell, Charles M.",S,Tenor
52461*,"Shaw, Alfred D.",S,Tenor
52461*,"Hindermeyer, H. W.",S,Tenor
52461*,"Becker, Delos",S,Tenor
52461*,"Kellerman, Marcus",S,Bass
52461*,"Jahn, Edmund A.",S,Bass
52461*,"Daniels, Tom",S,Bass
52461*,"Sarto, Andreas",S,Baritone
7048*,"Biden, Sydney",S,Vocalist
52461*,Oratorio Society of New York,S,Chorus
52461*,"Maley, Turney",S,Soprano
52461*,"Harriss, Estelle",S,Soprano
52461*,"Miller, Margaret",S,Soprano
52461*,"Reardon, Mildred G.",S,Soprano
52461*,"Hussey, Ada C.",S,Alto
52461*,"Mulford, Florence",S,Alto
52461*,"Veer, Nevada vander",S,Alto
52461*,"Marvin, Cornelia",S,Alto
52461*,"Kitchell, Charles M.",S,Tenor
52461*,"Shaw, Alfred D.",S,Tenor
52461*,"Hindermeyer, H. W.",S,Tenor
52461*,"Becker, Delos",S,Tenor
52461*,"Kellerman, Marcus",S,Bass
52461*,"Jahn, Edmund A.",S,Bass
52461*,"Daniels, Tom",S,Bass
52461*,"Sarto, Andreas",S,Baritone
9001*13,"Jorn, Carl",S,Tenor
9007*19,"Jorn, Carl",S,Tenor
1847*,"Mero, Yolanda",S,Piano
52217*1,"Saslavsky, Alexander",S,Violin
52217*2,"Saslavsky, Alexander",S,Violin
54106*,"Lhevinne, Josef",S,Piano
3685*,"Kreisler, Fritz",S,Violin
3685*,"Kreisler, Fritz",S,Violin
7356*,"Bloomfield-Zeisler, Fannie",S,Piano
2068*,"Kreisler, Fritz",S,Violin
50731*,"Bloomfield-Zeisler, Fannie",S,Piano
3652*,"Sealy, Frank L.",A,Organ
9003*4,"Rider-Kelsey, Corinne",S,Soprano
52551*4,"Rider-Kelsey, Corinne",S,Soprano
52551*3,"Rider-Kelsey, Corinne",S,Soprano
7487*,"Kefer, Paul",S,Cello
878*2,"Hampden, Walter",S,None
878*16,"Hampden, Walter",S,Reciter
878*19,"Hampden, Walter",S,Reciter
9007*19,"Jorn, Carl",S,Tenor
9000*7,"Showalter, Edna",S,Soprano
9000*7,Macdowell Chorus,S,Chorus
237*,Macdowell Chorus,S,Chorus
5616*4,"Spencer, Janet",S,Contralto
5616*4,Macdowell Chorus,S,Chorus
3304*,"Spiering, Theodore",S,Violin
9194*7,"Jorn, Carl",S,Tenor
5573*,"Hutcheson, Ernest",S,Piano
5573*,Bach Choir of Montclair,S,Chorus
52461*,"Rider-Kelsey, Corinne",S,Soprano
52461*,"Waterhouse, Viola",S,Soprano
52461*,"Spencer, Janet",S,Contralto
52461*,"Beddoe, Dan F.",S,Tenor
52461*,"Dufault, Paul",S,Tenor
52461*,"Watrous, Herbert",S,Bass
52461*,Bach Choir of Montclair,S,Chorus
5573*,"Hutcheson, Ernest",S,Piano
5573*,Bach Choir of Montclair,S,Chorus
52461*,"Rider-Kelsey, Corinne",S,Soprano
52461*,"Waterhouse, Viola",S,Soprano
52461*,"Spencer, Janet",S,Contralto
52461*,"Beddoe, Dan F.",S,Tenor
52461*,"Dufault, Paul",S,Tenor
52461*,"Watrous, Herbert",S,Bass
52461*,Bach Choir of Montclair,S,Chorus
3685*,"Berber, Felix",S,Violin
3685*,"Berber, Felix",S,Violin
6236*,"Mahler, Gustav",S,Harpsichord
51929*,"Hyde, Arthur S.",A,Organ
6236*,"Mahler, Gustav",S,Harpsichord
51929*,"Hyde, Arthur S.",A,Organ
6236*,"Mahler, Gustav",S,Harpsichord
51929*,"Hyde, Arthur S.",A,Organ
181*3,"Homer, Louise",S,Mezzo-Soprano
9000*8,"Homer, Louise",S,Mezzo-Soprano
1977*,"Hofmann, Josef",S,Piano
1977*,"Hofmann, Josef",S,Piano
8964*1,"Anderson, Sara",S,Vocalist
8964*3,"Anderson, Sara",S,Vocalist
8868*6,"Anderson, Sara",S,Vocalist
8868*7,Chorus,S,Womens Chorus
6296*,"Gluck, Alma",S,Soprano
6299*2,"Gluck, Alma",S,Soprano
52647*2,"Gluck, Alma",S,Soprano
6296*,"Gluck, Alma",S,Soprano
6299*2,"Gluck, Alma",S,Soprano
52647*2,"Gluck, Alma",S,Soprano
6296*,"Gluck, Alma",S,Soprano
6299*2,"Gluck, Alma",S,Soprano
52647*2,"Gluck, Alma",S,Soprano
4242*,"Lashanska, Hulda",S,Soprano
6353*,"Scharwenka, Franz Xaver",S,Piano
